duration_seconds,number_of_trials,same_speaker_trials,different_speaker_trials,eer,eer_percent,eer_threshold,mean_same_speaker_score,mean_different_speaker_score,mean_score_difference,median_same_speaker_score,median_different_speaker_score,median_score_difference
3,8298,4136,4162,0.011328142064566855,1.1328142064566855,0.2525300979614258,0.530411369374429,0.0186011533845097,0.5118102159899193,0.5317529439926147,0.011930594220757484,0.5198223497718573
5,8298,4136,4162,0.007712777575875285,0.7712777575875285,0.28921687602996826,0.5825978434812169,0.020856242195200953,0.5617416012860159,0.5855644345283508,0.014920280314981937,0.5706441542133689
10,8298,4136,4162,0.005784583181906491,0.5784583181906491,0.31313490867614746,0.6283893509690489,0.023476742705943826,0.6049126082631051,0.634644627571106,0.01597519963979721,0.6186694279313087
